"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
154,"NCT03004443","Inflammation-Induced CNS Glutamate Changes in Depression",,"Recruiting","No Results Available","Depression","Drug: Infliximab|Drug: Placebo","Change in CNS glutamate|Change in Effort-Expenditure for Rewards Task (EEfRT) Score|Change in Snaith-Hamilton Pleasure Scale (SHAPS-C) Score|Change in Mood and Pleasure Scale (MAP) Score|Change in Finger Tapping Task (FTT) Score|Change in Reaction Time Task (RTT) Score|Change in Digit Symbol Substitution Task (DSST) Score|Change in Trails Making Test A (TMT-A) Score|Change in Retardation Rating Scale a (RRS) Score|Change in Multidimensional Fatigue Inventory (MFI) Score|Change in Inventory of Depressive Symptoms-Clinician Rating (IDS-SR) Item 20 Score|Change in plasma inflammatory markers|Correlation between basal ganglia glutamate and anhedonia and psychomotor speed|Correlation between basal ganglia glutamate and plasma inflammatory markers|Cerebrospinal fluid (CSF) inflammatory markers|Correlation between basal ganglia glutamate and CSF inflammatory markers","Emory University","All","25 Years to 60 Years   (Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00090667","May 15, 2017","November 2021","November 2021","December 28, 2016","null","August 23, 2018","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03004443"
155,"NCT03002324","Tailoring of Vaccine-Focused Messages: Disease Salience",,"Completed","No Results Available","Human Papillomavirus","Behavioral: Baseline Survey|Behavioral: Current CDC Message|Behavioral: Cervical Cancer Message|Behavioral: Control Message|Behavioral: Post-Intervention Survey","Overall change in attitude towards the human papilloma virus (HPV) vaccine|Intent to have their child vaccinated against HPV","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1320","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","IRB00087211a","January 2017","May 1, 2017","May 1, 2017","December 23, 2016","null","May 10, 2017","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03002324"
156,"NCT02999529","Health Literacy Multi-media Study",,"Completed","No Results Available","Cancer","Other: Educational Video","Number of Correct Responses|Number of Incorrect Responses","Emory University","All","Child, Adult, Older Adult","Not Applicable","100","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","IRB00085515","December 2016","April 2017","April 2017","December 21, 2016","null","May 17, 2017","Grady Health System, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02999529"
157,"NCT02992899","Closed Loop Vagal Nerve Stimulation for Patients With Posttraumatic Stress Disorder",,"Recruiting","No Results Available","PostTraumatic Stress Disorder","Other: gammaCore/electroCore|Other: Sham gammaCore/electroCore","Change in Interleukin-6 (IL6) Level|Change in Tryptophan Level|Change in Kynurenine Level|Change in Kynurenic Acid Level|Change in 3-3 Hydroxykynurenine Level|Change in Anthranilic Acid Level|Change in Tumor Necrosis Factor (TNF)-alpha Level|Change in Interferon-Gamma Level|Change in Interleukin-1 Beta Level|Change in Interleukin-2 (IL2) Level|Change in Interleukin-4 (IL4) Level|Change in Interleukin-8 (IL8) Level|Change in Interleukin-10 (IL10) Level|Change in Interleukin-12p70 (IL12p70) Level|Change in Interleukin-12p (IL12p) Level|Change in Interleukin-13 (IL13) Level|Change in Macrophage Migration Inhibitory Factor|Change in High-Mobility Group Protein B1 Level|Change in Adrenocortitropic Hormone Level|Change in Cortisol Level|Change in Epinephrine Level|Change in Dopamine Level|Change in Norepinephrine Level","Emory University|Georgia Institute of Technology","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other","IRB00091171","April 19, 2017","July 2019","July 2019","December 14, 2016","null","May 16, 2018","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02992899"
158,"NCT02988661","Women Empowered to Live With Lupus Study","WELL","Recruiting","No Results Available","Lupus Erythematosus, Systemic","Behavioral: Chronic Disease Self-Management Program (CDSMP)","Change in Communication with Physicians assessed by the Stanford 3Q Scale|Change in Self-efficacy for Managing Medications assessed by the PROMIS SF8a score|Change in Global Health assessed by the PROMIS Global Health score|Change in Physical Function assessed by the PROMIS SF10b score|Change in Pain Interference assessed by the PROMIS SF8a score|Change in Fatigue assessed by the PROMIS SF8a score|Change in Sleep Disturbance assessed by the PROMIS SF8a score|Change in Anxiety Level assessed by the PROMIS SF8a score|Change in Ability to Participate in Social Roles and Activities assessed by the PROMIS SF8a score|Change in the Patient Activation Measure (PAM SF 10) score|Change in Self-Efficacy assessed by the PROMIS SF4a score|Change in Angry Mood assessed by the PROMIS SF5 score|Change in Perceived Stress Scale (PSS) Score|Hospitalization Rate|Emergency Department Visit Rate","Emory University","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00003656","January 19, 2017","August 2021","August 2021","December 9, 2016","null","March 1, 2018","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02988661"
159,"NCT02985996","Body Compartment PK for New HIV Pre-exposure Prophylaxis Modalities",,"Recruiting","No Results Available","HIV Infections","Drug: Truvada|Drug: Genvoya","Changes in Intracellular emtricitabine triphosphate (FTC-TP) for Persons on Genvoya Compared to Truvada|Changes in Intracellular tenofovir diphosphate (TFV-DP) for Persons on Genvoya Compared to Truvada|Change in plasma emtricitabine (FTC) Concentration|Change in plasma tenofovir disoproxil fumarate (TDF) Concentration|Change in plasma tenofovir alafenamide (TAF) Concentration|Change in plasma elvitegravir (EVG) Concentration|Change in Rectal emtricitabine (FTC) Concentration|Change in Rectal tenofovir disoproxil fumarate (TDF) Concentration|Change in Rectal tenofovir alafenamide (TAF) Concentration|Change in Rectal elvitegravir (EVG) Concentration|Change in Intracellular emtricitabine (FTC) Concentration in peripheral blood mononuclear cells (PBMCs)|Change in Intracellular tenofovir disoproxil fumarate (TDF) Concentration in peripheral blood mononuclear cells (PBMCs)|Change in Intracellular tenofovir alafenamide (TAF) Concentration in peripheral blood mononuclear cells (PBMCs)|Change in Intracellular elvitegravir (EVG) Concentration in peripheral blood mononuclear cells (PBMCs)|Change in Intracellular emtricitabine (FTC) Concentration in Rectal Tissue|Change in Intracellular tenofovir disoproxil fumarate (TDF) Concentration in Rectal Tissue|Change in tenofovir alafenamide (TAF) Concentration in Rectal Tissue|Change in elvitegravir (EVG) Concentration in Rectal Tissue|Change in emtricitabine (FTC) Concentration in Penile Secretions|Change in tenofovir disoproxil fumarate (TDF) Concentration in Penile Secretions|Change in tenofovir alafenamide (TAF) Concentration in Penile Secretions|Change in elvitegravir (EVG) Concentration in Penile Secretions|PrEP Efficacy as measured by Inhibition of in vitro infection of rectal biopsies to HIV","Emory University|Centers for Disease Control and Prevention","Male","18 Years to 49 Years   (Adult)","Phase 1","90","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00092488","February 6, 2017","September 2018","September 2018","December 7, 2016","null","April 10, 2018","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02985996"
160,"NCT02976012","Endolaserless Vitrectomy With Intravitreal IAI for PDR-Related VH","LASERLESS","Recruiting","No Results Available","Proliferative Diabetic Retinopathy","Drug: Aflibercept|Procedure: Endolaserless Vitrectomy","• Ocular and systemic safety evaluation for adverse events at any time point through 52 weeks:|Mean change in BCVA letter score|Mean BCVA letter score|Proportion of eyes with progression of PDR|Mean OCT CSF thickness|Proportion of eyes with OCT CSF thickness <300um|Proportion of eyes with absence of Optos widefield fluorescein angiographic macular leakage|Proportion of eyes with absence of active neovascularization|Proportion of eyes with unchanged, worsened, or improved fluorescein angiographic macular leakage|Proportion of eyes with unchanged, worsened, or improved fluorescein angiographic neovascularization|Proportion of eyes with unchanged, worsened, or improved fundus photographic DME appearance|Mean cumulative score and change for the combined 30-2 and 60-4 HVF test|Proportion of eyes requiring additional IAI other than mandatory injections|Proportion of eye with progression of PDR requiring rescue PRP standard of care|Proportion of eyes requiring PRP or retinopexy|Proportion of eyes requiring additional vitrectomy|Proportion of enrolled eyes requiring intraoperative endolaser in a PRP pattern at the time of initial vitrectomy","Southeast Retina Center, Georgia","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","24","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VGFTe-DR-1548","June 2016","June 2018","June 2018","November 29, 2016","null","November 29, 2016","Southeast Retina Center, PC, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02976012"
161,"NCT02964559","Pembrolizumab in Patients With Locally Advanced or Metastatic Skin Cancer",,"Recruiting","No Results Available","Recurrent Skin Carcinoma|Skin Squamous Cell Carcinoma","Biological: Pembrolizumab","Response rate of pembrolizumab|Overall survival|Progression-free survival","Emory University|Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 2","29","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00087412|NCI-2016-00831|Winship3185-16","January 27, 2017","February 2020","February 2020","November 16, 2016","null","February 2, 2018","Emory University/Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02964559"
162,"NCT02959762","Vitamin K to Slow Progression of Dyslipidemia and Diabetes Risk (Vita-K 'n' Kids Study II)",,"Recruiting","No Results Available","Obesity|Insulin Resistance|Obesity in Diabetes|Nutritional and Metabolic Diseases|Hyperlipidemia|Hyperglycemia|Cardiovascular Diseases","Dietary Supplement: Placebo-Control|Dietary Supplement: Low-Dose Vitamin K2 (menaquinone-7; 45-mcg/d)|Dietary Supplement: High-Dose Vitamin K2 (menaquinone-7; 90 mcg/d)","Change in serum lipid concentrations|Change in insulin sensitivity|Change in beta-cell function|Change in coagulation|Change in arterial stiffness (pulse wave velocity)|Change in endothelial function (flow-mediated dilation)","Augusta University","All","8 Years to 17 Years   (Child)","Phase 1|Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","931430|16GRNT31090037","October 2016","December 1, 2018","December 30, 2018","November 9, 2016","null","July 12, 2018","Medical College of Georgia; Augusta University, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02959762"
163,"NCT02956122","A Phase 2/3 Study of GLASSIA for the Treatment of Acute GvHD",,"Terminated","No Results Available","Graft Versus Host Disease","Biological: GLASSIA|Drug: methylprednisolone or equivalent steroid|Biological: Albumin","Proportion of participants achieving overall response at Day 28|Proportion of participants achieving gastrointestinal (GI) response at Day 28|Proportion of participants achieving overall response at Day 56|Acute graft-versus-host disease (GvHD) grading at Days 28, 56 and 180|Chronic graft-versus-host disease (GvHD) at Days 100, 180 and 365|Duration of any overall response|Duration of any Gastrointestinal (GI) response|Survival through Days 100, 180 and 365|Transplant-related mortality|Survival at Days 100 and 180|Graft-versus-host disease (GvHD)-free survival|Infection-related mortality|Graft-versus-host disease (GvHD)-related mortality|All-cause mortality|All AEs, related AEs, all SAEs, related SAEs and temporally-associated AEs|Clinically significant changes in clinical laboratory assessments|Changes from baseline in vital signs|Recurrence of primary malignancies through Days 180 and 365|Infections (eg, bacterial, fungal, viral, etc) at Days 28, 56, 180 and 365|Pharmacokinetics: Area under the plasma concentration curve (AUC) from time zero to the last quantifiable activity|Pharmacokinetics: Area under the plasma concentration curve (AUC) from time zero to time ""t""|Pharmacokinetics: Systemic clearance|Pharmacokinetics (PK): Maximum plasma concentration|Pharmacokinetics (PK): Area under the plasma concentration curve (AUC) from time zero to infinity|Pharmacokinetics: Apparent volume of distribution|Pharmacokinetics: The terminal half-life|Pharmacokinetics: Mean residence time|Pharmacokinetics: Trough plasma A1PI levels","Baxalta now part of Shire|Kamada, Ltd.|Shire","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","1","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","471501","April 26, 2017","May 3, 2018","May 3, 2018","November 7, 2016","null","June 1, 2018","Georgia Cancer Center, Augusta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02956122"
164,"NCT02947737","Amniotic Membrane for Donor Site Healing",,"Completed","No Results Available","Burns","Other: Amniotic membrane dressing|Other: Gentamicin and xeroform dressing","Change in postoperative pain|Change in re-epithelialization|Comparison of scarring between donor sites|Comparison of hypopigmentation between donor sites","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","4","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00088758","February 1, 2017","August 31, 2017","August 31, 2017","October 28, 2016","null","May 21, 2018","Grady Health System, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02947737"
165,"NCT02944656","Gabapentin as an Adjunct to Paracervical Block for Perioperative Pain Management","Gaba","Completed","No Results Available","Pain","Drug: Gabapentin|Drug: Placebo","Pain at time of uterine evacuation|Change in perioperative pain level|Change in perioperative nausea|Change in perioperative vomiting|Change in anxiety levels|Anxiety level|General satisfaction with the procedure","Emory University|Society of Family Planning","Female","18 Years and older   (Adult, Older Adult)","Phase 4","116","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","IRB00084198","December 8, 2016","June 26, 2018","June 26, 2018","October 26, 2016","null","September 12, 2018","Atlanta Women's Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02944656"
166,"NCT02940288","Acupuncture for Postoperative Analgesia in Laparoscopic Surgery","Acu-Pilot","Recruiting","No Results Available","Surgery","Other: Auricular Acupuncture|Other: Sham Acupuncture","Time to First Analgesic Request|Total Amount of Postoperative Pain Medication|Pain Intensity assessed by the Visual Analog Scale (VIS)|Time to Discharge","Emory University","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Supportive Care","IRB00086184","September 2016","February 2019","February 2020","October 20, 2016","null","April 18, 2018","Atlanta Veterans Affairs (VA) Medical Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02940288"
167,"NCT02933684","D-Cycloserine and Virtual Reality Exposure Therapy",,"Withdrawn","No Results Available","Social Anxiety Disorder","Drug: Seromycin|Behavioral: Virtual Reality Exposure Therapy|Drug: Placebo","Change in scores on the Liebowitz Social Anxiety Scale-self report version (LSAS-SR)|Change in behavioral avoidance|Change in scores on the Clinical Global Improvement Scale, Patient Report|Change in scores on the Social Phobia Scale|Change in scores on the Social Interaction Anxiety Scale|Change in scores on the Patient Health Questionnaire|Change in scores on the Sheehan Disability Scale|Change in scores on the Quality of Life Inventory","Georgia State University|Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","ULTR000454","January 1, 2015","December 31, 2016","December 31, 2016","October 14, 2016","null","April 13, 2018","Georgia State University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02933684"
168,"NCT02922816","FMT for MDRO Colonization After Infection in Renal Transplant Recipients","PREMIX","Recruiting","No Results Available","Infection Due to Resistant Organism","Biological: Fecal Microbiota Transplant (FMT)|Procedure: Bowel preparation|Procedure: Stool or perirectal swab sampling|Other: Fasting","The safety and feasibility of using FMT in adult participants with Target MDRO colonization after infection will be measured by comparing the number of adverse events (assessed by CTCAE v4.0) after Day 1 of each cycle as compared to baseline.|Determine the rate of Target MDRO colonization between the control and experimental arms at screening and on Day 36 of each cycle.","Emory University|Cepheid","All","18 Years and older   (Adult, Older Adult)","Phase 1","20","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00090101","December 1, 2016","June 2019","December 2019","October 4, 2016","null","September 24, 2018","Emory University Hospital, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02922816"
169,"NCT02915692","Study to Compare CAUTI Rates Following ERASE CAUTI Tray Silver vs Silver Coated Foley Catheters",,"Terminated","No Results Available","Surgery","Device: ERASE Silver Coated Foley Catheter|Device: Comparator Silver Coated Catheter","Urinary tract infection rates|Catheter use|Catheter Associated Urinary Track Infection Costs","Medline Industries","All","18 Years and older   (Adult, Older Adult)","","753","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","MII-002","October 2012","September 2016","September 2016","September 27, 2016","null","September 27, 2016","Oconnee Regional Medical Center, Milledgenville, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02915692"
170,"NCT02911805","Bridging Animal and Human Models of Exercise-induced Visual Rehabilitation",,"Active, not recruiting","No Results Available","Vision Disorders","Behavioral: Aerobic exercise|Behavioral: Balance exercise","Visual acuity|serum BDNF|Retinal morphology|Contrast sensitivity","VA Office of Research and Development","All","18 Years to 89 Years   (Adult, Older Adult)","Not Applicable","20","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Basic Science","C1924-P","June 10, 2015","March 29, 2019","March 29, 2019","September 22, 2016","null","October 1, 2018","Atlanta VA Medical and Rehab Center, Decatur, GA, Decatur, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02911805"
171,"NCT02909387","Adapting Project UPLIFT for Blacks in Georgia",,"Recruiting","No Results Available","Depressive Symptoms","Behavioral: Project UPLIFT","Change in Depressive Symptoms","Morehouse School of Medicine|Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","GRANT11643642","August 2016","August 2019","September 2019","September 21, 2016","null","September 12, 2017","Demetrius Geiger, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02909387"
172,"NCT02897375","Palbociclib With Cisplatin or Carboplatin in Advanced Solid Tumors",,"Recruiting","No Results Available","Solid Neoplasm|Stage III Pancreatic Cancer|Stage IIIA Breast Cancer|Stage IIIA Non-Small Cell Lung Cancer|Stage IIIB Breast Cancer|Stage IIIB Non-Small Cell Lung Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer|Stage IV Non-Small Cell Lung Cancer|Stage IVA Pancreatic Cancer|Stage IVB Pancreatic Cancer|Sarcoma|Colorectal Cancer|Head and Neck Cancer|Cancer of Unknown Primary|Bladder Cancer|Ovarian Cancer","Drug: Carboplatin|Drug: Cisplatin|Drug: Palbociclib","Incidence of adverse events according to National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0|Incidence of dose limiting toxicities defined as grade 3 or higher toxicity|Recommended phase 2 dose (RP2D) as the highest doses of palbociclib and cisplatin or palbociclib and carboplatin|Overall response rate (complete response + partial response) assessed by Response Evaluation Criteria in Solid Tumors 1.1 criteria|Pharmacokinetic (PK) characteristics of carboplatin including maximum concentration (Cmax)|Pharmacokinetic (PK) characteristics of cisplatin including maximum concentration (Cmax)","Emory University|Pfizer","All","18 Years and older   (Adult, Older Adult)","Phase 1","90","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00089583|NCI-2016-01037|Winship3263-16","October 2016","February 2019","February 2021","September 13, 2016","null","November 27, 2017","Emory University/Winship Cancer Institute, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02897375"
173,"NCT02895997","Turning Night Into Day: Transcontinental Provision of Telehealth By and For the Emory Community",,"Active, not recruiting","No Results Available","Mental Fatigue","Other: Travel Telehealth Delivery","Change in Salivary Cortisol Levels|Change in Stanford Sleepiness Scale Score|Change in the Trail Making Test A Score|Change in the Trail Making Test B Score|Change in Physical Activity assessed by Multi-Scale Entropy|Change in Physical Activity assessed by Multi-Scale Complexity|Change in Heart Rate Variability assessed by Deceleration Capacity|Change in Heart Rate Variability assessed by Acceleration Capacity|Frequency of Arrhythmias|Change in Sleep Latency|Number of Awakenings per Hour|Change in Percent of Non Rapid Eye Movement (REM) Sleep|Change in Mood Symptom Questionnaire Score|Change in Patient Health Questionnaire-9 (PHQ-9) Score|Change in Number of Camera Sessions|Change in Duration of Camera Sessions|Change in Urgency of Clinical Contacts|Change in Number if Clinical Record Entries|Change in Duration of Service","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","7","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","IRB00088367","July 2016","December 2018","December 2018","September 12, 2016","null","October 17, 2017","Emory University, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02895997"
174,"NCT02895334","MyHeartBaby: An Initial Evaluation of the MyHeartBaby Psychosocial Telemedicine Program",,"Completed","No Results Available","Congenital Heart Disease","Behavioral: MyHeartBaby Program","Change in Levels Stress for Caregivers of 1-Ventricle Cardiac Defect Infants|Change in Levels Stress for Caregivers of 2-Ventricle Cardiac Defect Infants|Change in Levels of Caregiver Confidence in Feeding Management for 1-Ventricle Cardiac Defect Infants|Change in Levels of Caregiver Confidence in Feeding Management for 2-Ventricle Cardiac Defect Infants|Change in Infant Weight for 1-Ventricle Cardiac Defect Infants|Change in Infant Weight for 2-Ventricle Cardiac Defect Infants|Number of Unplanned Hospital Admissions","Emory University|Pediatric Heart Network|National Heart, Lung, and Blood Institute (NHLBI)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","25","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00082281","July 2015","April 7, 2017","April 7, 2017","September 9, 2016","null","July 12, 2017","Children's Healthcare of Atlanta, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02895334"
175,"NCT02893345","Safe@Home: A Self-Management Program for Individuals With TBI and Their Families",,"Active, not recruiting","No Results Available","Brain Injuries, Traumatic","Behavioral: Safe@Home Intervention Group|Other: Usual Care Group","Number of Unsafe Events for Each Participant|Change in Mayo-Portland Participation Scale Score|Change in Supervision Rating Scale Score|Change in Carrying Out Activities Scale Score","Shepherd Center, Atlanta GA","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment","627-605210-2","August 8, 2015","August 15, 2017","November 15, 2017","September 8, 2016","null","October 6, 2017","Shepherd Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02893345"
176,"NCT02892474","HCR vs. CABG Study",,"Active, not recruiting","No Results Available","Coronary Artery Disease","Procedure: Hybrid Coronary Revascularization (HCR)|Procedure: Coronary Artery Bypass Grafting (CABG)","Comparison of major adverse cardiac and cerebrovascular events (MACCE) between groups|Comparison of all-cause mortality between groups|Comparison of repeat revascularization between groups|Comparison of stroke between groups|Comparison of ischemia-driven repeat revascularization between groups|Comparison of ventilator time between groups|Comparison of surgical re-exploration between groups|Comparison of chest tube drainage complications between groups|Comparison of hospital length of stay between groups|Comparison of wound infection between groups|Comparison of atrial fibrillation between groups|Comparison of blood transfusion between groups|Comparison of hospital readmission between groups|Comparison of Angina Score between groups|Comparison of Duke Activity Scale Index (DASI) scores between groups|Comparison of EuroQol EQ-5D scores between groups","Emory University","All","Child, Adult, Older Adult","","75","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","IRB00089868","August 2016","July 27, 2018","December 2019","September 8, 2016","null","September 26, 2018","Emory University Hospital Midtown, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02892474"
177,"NCT02891980","MVA-BN®-Filo and Ad26.ZEBOV Vaccines in Healthy Volunteers",,"Active, not recruiting","No Results Available","Ebola Disease|Marburg Disease","Biological: Ad26 Zaire Ebola Vaccine|Biological: MVA Multi-Filo Ebola Vaccine","Determine the differential expression from baseline in mRNA after each study vaccination by study group|Determine the number of subjects with a vaccine-related serious adverse event (SAE) from the time of first study vaccination by study group through the duration of the study|Determine the number of subjects with a vaccine-related unsolicited adverse event (AE) from the time of each study vaccination by study group|Determine the number of subjects with solicited local and systemic reactogenicity events from the time of study vaccination by study group.|Determine the peak antibody response against filovirus glycoproteins (GPs) for each study group|Determine the change in CMI response from baseline against filovirus antigen using peptide pools and measurement by intracellular cytokine staining (ICS) in each of the study groups|Determine the change in the ADCC from baseline in each of the study groups","National Institute of Allergy and Infectious Diseases (NIAID)","All","18 Years to 45 Years   (Adult)","Phase 1","65","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","14-0094|HHSN272201300018I","March 24, 2017","March 15, 2019","March 15, 2019","September 8, 2016","null","September 7, 2018","Emory Children's Center - Pediatric Infectious Diseases, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT02891980"
178,"NCT02877082","Tacrolimus, Bortezomib, & Thymoglobulin in Preventing Low Toxicity GVHD in Donor Blood Stem Cell Transplant Patients",,"Terminated","Has Results","Acute Leukemia|Chronic Lymphocytic Leukemia|Chronic Myelogenous Leukemia, BCR-ABL1 Positive|Diffuse Large B-Cell Lymphoma|Follicular Lymphoma|Graft Versus Host Disease|Mantle Cell Lymphoma|Marginal Zone Lymphoma|Myelodysplastic Syndrome|Myelofibrosis|Myeloproliferative Neoplasm|Small Lymphocytic Lymphoma","Biological: Thymoglobulin|Drug: Bortezomib|Drug: Tacrolimus","Total Number of Serious Adverse Events and Adverse Events Related to This Immunosuppressive Regimen|Number of Patients Alive and Free of Severe Acute GVHD Following HLA Matched Related or Unrelated Donor Hematopoietic Peripheral Blood Transplant|Cumulative Incidence of Grade III-IV aGVHD|Incidence of Chronic GVHD|Overall Survival","Emory University","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","5","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IRB00082499|NCI-2016-01035|Winship3258-16","September 2016","July 2017","July 2017","August 24, 2016","April 30, 2018","April 30, 2018","Emory University/Winship Cancer Institute, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/82/NCT02877082/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02877082"
